TOP.6027b5a1.000c04e5	START
TOP.6027b5a1.000c04e5	user_options->usage	0
TOP.6027b5a1.000c04e5	user_options->username	0
TOP.6027b5a1.000c04e5	user_options->veracrypt_pim	0
TOP.6027b5a1.000c04e5	user_options->version	0
TOP.6027b5a1.000c04e5	user_options->workload_profile	2
TOP.6027b5a1.000c04e5	user_options->brain_client	0
TOP.6027b5a1.000c04e5	user_options->brain_client_features	2
TOP.6027b5a1.000c04e5	user_options->brain_server	0
TOP.6027b5a1.000c04e5	user_options->brain_port	6863
TOP.6027b5a1.000c04e5	user_options->brain_session	0
TOP.6027b5a1.000c04e5	hashes->hashfile	salted6.txt
TOP.6027b5a1.000c04e5	hashes->hashlist_mode	4
TOP.6027b5a1.000c04e5	hashes->hashlist_format	0
TOP.6027b5a1.000c04e5	hashes->hashes_cnt	0
TOP.6027b5a1.000c04e5	hashes->digests_cnt	15
TOP.6027b5a1.000c04e5	hashes->digests_done	0
TOP.6027b5a1.000c04e5	hashes->salts_cnt	1
TOP.6027b5a1.000c04e5	hashes->salts_done	0
TOP.6027b5a1.000c04e5	SUB.6027b5ab.00078707	START
TOP.6027b5a1.000c04e5	SUB.6027b5ab.00078707	straight_ctx->dict	.\rules\rockyou-30000.rule
TOP.6027b5a1.000c04e5	SUB.6027b5ab.00078707	runtime_start	1613215147
TOP.6027b5a1.000c04e5	SUB.6027b5ab.00078707	runtime_stop	1613215147
TOP.6027b5a1.000c04e5	SUB.6027b5ab.00078707	status-after-work	5
TOP.6027b5a1.000c04e5	SUB.6027b5ab.00078707	STOP
TOP.6027b5a1.000c04e5	proc_start	1613215137
TOP.6027b5a1.000c04e5	proc_stop	1613215148
TOP.6027b5a1.000c04e5	STOP
TOP.6027b645.000a5f71	START
TOP.6027b645.000a5f71	user_options->separator	:
TOP.6027b645.000a5f71	user_options->encoding_from	utf-8
TOP.6027b645.000a5f71	user_options->encoding_to	utf-8
TOP.6027b645.000a5f71	user_options->outfile	.\cracked.txt
TOP.6027b645.000a5f71	user_options->rule_buf_l	:
TOP.6027b645.000a5f71	user_options->rule_buf_r	:
TOP.6027b645.000a5f71	user_options->session	hashcat
TOP.6027b645.000a5f71	user_options->limit	0
TOP.6027b645.000a5f71	user_options->skip	0
TOP.6027b645.000a5f71	user_options->attack_mode	0
TOP.6027b645.000a5f71	user_options->benchmark	0
TOP.6027b645.000a5f71	user_options->benchmark_all	0
TOP.6027b645.000a5f71	user_options->bitmap_max	18
TOP.6027b645.000a5f71	user_options->bitmap_min	16
TOP.6027b645.000a5f71	user_options->debug_mode	0
TOP.6027b645.000a5f71	user_options->example_hashes	0
TOP.6027b645.000a5f71	user_options->force	0
TOP.6027b645.000a5f71	user_options->hwmon_disable	0
TOP.6027b645.000a5f71	user_options->hwmon_temp_abort	90
TOP.6027b645.000a5f71	user_options->hash_mode	0
TOP.6027b645.000a5f71	user_options->hex_charset	0
TOP.6027b645.000a5f71	user_options->hex_salt	0
TOP.6027b645.000a5f71	user_options->hex_wordlist	0
TOP.6027b645.000a5f71	user_options->increment	0
TOP.6027b645.000a5f71	user_options->increment_max	256
TOP.6027b645.000a5f71	user_options->increment_min	1
TOP.6027b645.000a5f71	user_options->keep_guessing	0
TOP.6027b645.000a5f71	user_options->kernel_accel	0
TOP.6027b645.000a5f71	user_options->kernel_loops	0
TOP.6027b645.000a5f71	user_options->kernel_threads	0
TOP.6027b645.000a5f71	user_options->keyspace	0
TOP.6027b645.000a5f71	user_options->left	0
TOP.6027b645.000a5f71	user_options->logfile_disable	0
TOP.6027b645.000a5f71	user_options->loopback	0
TOP.6027b645.000a5f71	user_options->machine_readable	0
TOP.6027b645.000a5f71	user_options->markov_classic	0
TOP.6027b645.000a5f71	user_options->markov_disable	0
TOP.6027b645.000a5f71	user_options->markov_threshold	256
TOP.6027b645.000a5f71	user_options->opencl_info	0
TOP.6027b645.000a5f71	user_options->opencl_vector_width	0
TOP.6027b645.000a5f71	user_options->optimized_kernel_enable	0
TOP.6027b645.000a5f71	user_options->outfile_autohex	1
TOP.6027b645.000a5f71	user_options->outfile_check_timer	5
TOP.6027b645.000a5f71	user_options->outfile_format	3
TOP.6027b645.000a5f71	user_options->wordlist_autohex_disable	0
TOP.6027b645.000a5f71	user_options->potfile_disable	0
TOP.6027b645.000a5f71	user_options->progress_only	0
TOP.6027b645.000a5f71	user_options->quiet	0
TOP.6027b645.000a5f71	user_options->remove	0
TOP.6027b645.000a5f71	user_options->remove_timer	60
TOP.6027b645.000a5f71	user_options->restore	0
TOP.6027b645.000a5f71	user_options->restore_disable	0
TOP.6027b645.000a5f71	user_options->restore_timer	60
TOP.6027b645.000a5f71	user_options->rp_files_cnt	0
TOP.6027b645.000a5f71	user_options->rp_gen	0
TOP.6027b645.000a5f71	user_options->rp_gen_func_max	4
TOP.6027b645.000a5f71	user_options->rp_gen_func_min	1
TOP.6027b645.000a5f71	user_options->rp_gen_seed	0
TOP.6027b645.000a5f71	user_options->runtime	0
TOP.6027b645.000a5f71	user_options->scrypt_tmto	0
TOP.6027b645.000a5f71	user_options->segment_size	33554432
TOP.6027b645.000a5f71	user_options->self_test_disable	0
TOP.6027b645.000a5f71	user_options->slow_candidates	0
TOP.6027b645.000a5f71	user_options->show	0
TOP.6027b645.000a5f71	user_options->speed_only	0
TOP.6027b645.000a5f71	user_options->spin_damp	8
TOP.6027b645.000a5f71	user_options->status	0
TOP.6027b645.000a5f71	user_options->status_timer	10
TOP.6027b645.000a5f71	user_options->stdout_flag	0
TOP.6027b645.000a5f71	user_options->usage	0
TOP.6027b645.000a5f71	user_options->username	0
TOP.6027b645.000a5f71	user_options->veracrypt_pim	0
TOP.6027b645.000a5f71	user_options->version	0
TOP.6027b645.000a5f71	user_options->workload_profile	2
TOP.6027b645.000a5f71	user_options->brain_client	0
TOP.6027b645.000a5f71	user_options->brain_client_features	2
TOP.6027b645.000a5f71	user_options->brain_server	0
TOP.6027b645.000a5f71	user_options->brain_port	6863
TOP.6027b645.000a5f71	user_options->brain_session	0
TOP.6027b645.000a5f71	hashes->hashfile	.\salted6.txt
TOP.6027b645.000a5f71	hashes->hashlist_mode	4
TOP.6027b645.000a5f71	hashes->hashlist_format	0
TOP.6027b645.000a5f71	hashes->hashes_cnt	0
TOP.6027b645.000a5f71	hashes->digests_cnt	15
TOP.6027b645.000a5f71	hashes->digests_done	0
TOP.6027b645.000a5f71	hashes->salts_cnt	1
TOP.6027b645.000a5f71	hashes->salts_done	0
TOP.6027b645.000a5f71	SUB.6027b64a.00064b1b	START
TOP.6027b645.000a5f71	SUB.6027b64a.00064b1b	straight_ctx->dict	.\rules\rockyou-30000.rule
TOP.6027b645.000a5f71	SUB.6027b64a.00064b1b	runtime_start	1613215306
TOP.6027b645.000a5f71	SUB.6027b64a.00064b1b	runtime_stop	1613215306
TOP.6027b645.000a5f71	SUB.6027b64a.00064b1b	status-after-work	5
TOP.6027b645.000a5f71	SUB.6027b64a.00064b1b	STOP
TOP.6027b645.000a5f71	proc_start	1613215301
TOP.6027b645.000a5f71	proc_stop	1613215307
TOP.6027b645.000a5f71	STOP
TOP.6027b65f.00082ea9	START
TOP.6027b65f.00082ea9	user_options->separator	:
TOP.6027b65f.00082ea9	user_options->encoding_from	utf-8
TOP.6027b65f.00082ea9	user_options->encoding_to	utf-8
TOP.6027b65f.00082ea9	user_options->outfile	.\cracked.txt
TOP.6027b65f.00082ea9	user_options->rule_buf_l	:
TOP.6027b65f.00082ea9	user_options->rule_buf_r	:
TOP.6027b65f.00082ea9	user_options->session	hashcat
TOP.6027b65f.00082ea9	user_options->limit	0
TOP.6027b65f.00082ea9	user_options->skip	0
TOP.6027b65f.00082ea9	user_options->attack_mode	0
TOP.6027b65f.00082ea9	user_options->benchmark	0
TOP.6027b65f.00082ea9	user_options->benchmark_all	0
TOP.6027b65f.00082ea9	user_options->bitmap_max	18
TOP.6027b65f.00082ea9	user_options->bitmap_min	16
TOP.6027b65f.00082ea9	user_options->debug_mode	0
TOP.6027b65f.00082ea9	user_options->example_hashes	0
TOP.6027b65f.00082ea9	user_options->force	0
TOP.6027b65f.00082ea9	user_options->hwmon_disable	0
TOP.6027b65f.00082ea9	user_options->hwmon_temp_abort	90
TOP.6027b65f.00082ea9	user_options->hash_mode	0
TOP.6027b65f.00082ea9	user_options->hex_charset	0
TOP.6027b65f.00082ea9	user_options->hex_salt	0
TOP.6027b65f.00082ea9	user_options->hex_wordlist	0
TOP.6027b65f.00082ea9	user_options->increment	0
TOP.6027b65f.00082ea9	user_options->increment_max	256
TOP.6027b65f.00082ea9	user_options->increment_min	1
TOP.6027b65f.00082ea9	user_options->keep_guessing	0
TOP.6027b65f.00082ea9	user_options->kernel_accel	0
TOP.6027b65f.00082ea9	user_options->kernel_loops	0
TOP.6027b65f.00082ea9	user_options->kernel_threads	0
TOP.6027b65f.00082ea9	user_options->keyspace	0
TOP.6027b65f.00082ea9	user_options->left	0
TOP.6027b65f.00082ea9	user_options->logfile_disable	0
TOP.6027b65f.00082ea9	user_options->loopback	0
TOP.6027b65f.00082ea9	user_options->machine_readable	0
TOP.6027b65f.00082ea9	user_options->markov_classic	0
TOP.6027b65f.00082ea9	user_options->markov_disable	0
TOP.6027b65f.00082ea9	user_options->markov_threshold	256
TOP.6027b65f.00082ea9	user_options->opencl_info	0
TOP.6027b65f.00082ea9	user_options->opencl_vector_width	0
TOP.6027b65f.00082ea9	user_options->optimized_kernel_enable	0
TOP.6027b65f.00082ea9	user_options->outfile_autohex	1
TOP.6027b65f.00082ea9	user_options->outfile_check_timer	5
TOP.6027b65f.00082ea9	user_options->outfile_format	3
TOP.6027b65f.00082ea9	user_options->wordlist_autohex_disable	0
TOP.6027b65f.00082ea9	user_options->potfile_disable	0
TOP.6027b65f.00082ea9	user_options->progress_only	0
TOP.6027b65f.00082ea9	user_options->quiet	0
TOP.6027b65f.00082ea9	user_options->remove	0
TOP.6027b65f.00082ea9	user_options->remove_timer	60
TOP.6027b65f.00082ea9	user_options->restore	0
TOP.6027b65f.00082ea9	user_options->restore_disable	0
TOP.6027b65f.00082ea9	user_options->restore_timer	60
TOP.6027b65f.00082ea9	user_options->rp_files_cnt	0
TOP.6027b65f.00082ea9	user_options->rp_gen	0
TOP.6027b65f.00082ea9	user_options->rp_gen_func_max	4
TOP.6027b65f.00082ea9	user_options->rp_gen_func_min	1
TOP.6027b65f.00082ea9	user_options->rp_gen_seed	0
TOP.6027b65f.00082ea9	user_options->runtime	0
TOP.6027b65f.00082ea9	user_options->scrypt_tmto	0
TOP.6027b65f.00082ea9	user_options->segment_size	33554432
TOP.6027b65f.00082ea9	user_options->self_test_disable	0
TOP.6027b65f.00082ea9	user_options->slow_candidates	0
TOP.6027b65f.00082ea9	user_options->show	0
TOP.6027b65f.00082ea9	user_options->speed_only	0
TOP.6027b65f.00082ea9	user_options->spin_damp	8
TOP.6027b65f.00082ea9	user_options->status	0
TOP.6027b65f.00082ea9	user_options->status_timer	10
TOP.6027b65f.00082ea9	user_options->stdout_flag	0
TOP.6027b65f.00082ea9	user_options->usage	0
TOP.6027b65f.00082ea9	user_options->username	0
TOP.6027b65f.00082ea9	user_options->veracrypt_pim	0
TOP.6027b65f.00082ea9	user_options->version	0
TOP.6027b65f.00082ea9	user_options->workload_profile	2
TOP.6027b65f.00082ea9	user_options->brain_client	0
TOP.6027b65f.00082ea9	user_options->brain_client_features	2
TOP.6027b65f.00082ea9	user_options->brain_server	0
TOP.6027b65f.00082ea9	user_options->brain_port	6863
TOP.6027b65f.00082ea9	user_options->brain_session	0
TOP.6027b65f.00082ea9	hashes->hashfile	.\3.txt
TOP.6027b65f.00082ea9	hashes->hashlist_mode	4
TOP.6027b65f.00082ea9	hashes->hashlist_format	0
TOP.6027b65f.00082ea9	hashes->hashes_cnt	0
TOP.6027b65f.00082ea9	hashes->digests_cnt	15
TOP.6027b65f.00082ea9	hashes->digests_done	0
TOP.6027b65f.00082ea9	hashes->salts_cnt	1
TOP.6027b65f.00082ea9	hashes->salts_done	0
TOP.6027b65f.00082ea9	SUB.6027b664.0003e455	START
TOP.6027b65f.00082ea9	SUB.6027b664.0003e455	straight_ctx->dict	.\rules\rockyou-30000.rule
TOP.6027b65f.00082ea9	SUB.6027b664.0003e455	runtime_start	1613215332
TOP.6027b65f.00082ea9	SUB.6027b664.0003e455	runtime_stop	1613215332
TOP.6027b65f.00082ea9	SUB.6027b664.0003e455	status-after-work	5
TOP.6027b65f.00082ea9	SUB.6027b664.0003e455	STOP
TOP.6027b65f.00082ea9	proc_start	1613215327
TOP.6027b65f.00082ea9	proc_stop	1613215333
TOP.6027b65f.00082ea9	STOP
TOP.6027b7e9.000c357d	START
TOP.6027b7e9.000c357d	user_options->separator	:
TOP.6027b7e9.000c357d	user_options->encoding_from	utf-8
TOP.6027b7e9.000c357d	user_options->encoding_to	utf-8
TOP.6027b7e9.000c357d	user_options->outfile	.\cracked.txt
TOP.6027b7e9.000c357d	user_options->rule_buf_l	:
TOP.6027b7e9.000c357d	user_options->rule_buf_r	:
TOP.6027b7e9.000c357d	user_options->session	hashcat
TOP.6027b7e9.000c357d	user_options->limit	0
TOP.6027b7e9.000c357d	user_options->skip	0
TOP.6027b7e9.000c357d	user_options->attack_mode	0
TOP.6027b7e9.000c357d	user_options->benchmark	0
TOP.6027b7e9.000c357d	user_options->benchmark_all	0
TOP.6027b7e9.000c357d	user_options->bitmap_max	18
TOP.6027b7e9.000c357d	user_options->bitmap_min	16
TOP.6027b7e9.000c357d	user_options->debug_mode	0
TOP.6027b7e9.000c357d	user_options->example_hashes	0
TOP.6027b7e9.000c357d	user_options->force	0
TOP.6027b7e9.000c357d	user_options->hwmon_disable	0
TOP.6027b7e9.000c357d	user_options->hwmon_temp_abort	90
TOP.6027b7e9.000c357d	user_options->hash_mode	0
TOP.6027b7e9.000c357d	user_options->hex_charset	0
TOP.6027b7e9.000c357d	user_options->hex_salt	0
TOP.6027b7e9.000c357d	user_options->hex_wordlist	0
TOP.6027b7e9.000c357d	user_options->increment	0
TOP.6027b7e9.000c357d	user_options->increment_max	256
TOP.6027b7e9.000c357d	user_options->increment_min	1
TOP.6027b7e9.000c357d	user_options->keep_guessing	0
TOP.6027b7e9.000c357d	user_options->kernel_accel	0
TOP.6027b7e9.000c357d	user_options->kernel_loops	0
TOP.6027b7e9.000c357d	user_options->kernel_threads	0
TOP.6027b7e9.000c357d	user_options->keyspace	0
TOP.6027b7e9.000c357d	user_options->left	0
TOP.6027b7e9.000c357d	user_options->logfile_disable	0
TOP.6027b7e9.000c357d	user_options->loopback	0
TOP.6027b7e9.000c357d	user_options->machine_readable	0
TOP.6027b7e9.000c357d	user_options->markov_classic	0
TOP.6027b7e9.000c357d	user_options->markov_disable	0
TOP.6027b7e9.000c357d	user_options->markov_threshold	256
TOP.6027b7e9.000c357d	user_options->opencl_info	0
TOP.6027b7e9.000c357d	user_options->opencl_vector_width	0
TOP.6027b7e9.000c357d	user_options->optimized_kernel_enable	0
TOP.6027b7e9.000c357d	user_options->outfile_autohex	1
TOP.6027b7e9.000c357d	user_options->outfile_check_timer	5
TOP.6027b7e9.000c357d	user_options->outfile_format	3
TOP.6027b7e9.000c357d	user_options->wordlist_autohex_disable	0
TOP.6027b7e9.000c357d	user_options->potfile_disable	0
TOP.6027b7e9.000c357d	user_options->progress_only	0
TOP.6027b7e9.000c357d	user_options->quiet	0
TOP.6027b7e9.000c357d	user_options->remove	0
TOP.6027b7e9.000c357d	user_options->remove_timer	60
TOP.6027b7e9.000c357d	user_options->restore	0
TOP.6027b7e9.000c357d	user_options->restore_disable	0
TOP.6027b7e9.000c357d	user_options->restore_timer	60
TOP.6027b7e9.000c357d	user_options->rp_files_cnt	0
TOP.6027b7e9.000c357d	user_options->rp_gen	0
TOP.6027b7e9.000c357d	user_options->rp_gen_func_max	4
TOP.6027b7e9.000c357d	user_options->rp_gen_func_min	1
TOP.6027b7e9.000c357d	user_options->rp_gen_seed	0
TOP.6027b7e9.000c357d	user_options->runtime	0
TOP.6027b7e9.000c357d	user_options->scrypt_tmto	0
TOP.6027b7e9.000c357d	user_options->segment_size	33554432
TOP.6027b7e9.000c357d	user_options->self_test_disable	0
TOP.6027b7e9.000c357d	user_options->slow_candidates	0
TOP.6027b7e9.000c357d	user_options->show	0
TOP.6027b7e9.000c357d	user_options->speed_only	0
TOP.6027b7e9.000c357d	user_options->spin_damp	8
TOP.6027b7e9.000c357d	user_options->status	0
TOP.6027b7e9.000c357d	user_options->status_timer	10
TOP.6027b7e9.000c357d	user_options->stdout_flag	0
TOP.6027b7e9.000c357d	user_options->usage	0
TOP.6027b7e9.000c357d	user_options->username	0
TOP.6027b7e9.000c357d	user_options->veracrypt_pim	0
TOP.6027b7e9.000c357d	user_options->version	0
TOP.6027b7e9.000c357d	user_options->workload_profile	2
TOP.6027b7e9.000c357d	user_options->brain_client	0
TOP.6027b7e9.000c357d	user_options->brain_client_features	2
TOP.6027b7e9.000c357d	user_options->brain_server	0
TOP.6027b7e9.000c357d	user_options->brain_port	6863
TOP.6027b7e9.000c357d	user_options->brain_session	0
TOP.6027b7e9.000c357d	hashes->hashfile	.\3.txt
TOP.6027b7e9.000c357d	hashes->hashlist_mode	4
TOP.6027b7e9.000c357d	hashes->hashlist_format	0
TOP.6027b7e9.000c357d	hashes->hashes_cnt	0
TOP.6027b7e9.000c357d	hashes->digests_cnt	15
TOP.6027b7e9.000c357d	hashes->digests_done	0
TOP.6027b7e9.000c357d	hashes->salts_cnt	1
TOP.6027b7e9.000c357d	hashes->salts_done	0
TOP.6027b7e9.000c357d	SUB.6027b7ee.000bf7bd	START
TOP.6027b7e9.000c357d	SUB.6027b7ee.000bf7bd	straight_ctx->dict	.\rockyou.txt
TOP.6027b7e9.000c357d	SUB.6027b7ee.000bf7bd	runtime_start	1613215728
TOP.6027b7e9.000c357d	SUB.6027b7ee.000bf7bd	runtime_stop	1613215730
TOP.6027b7e9.000c357d	SUB.6027b7ee.000bf7bd	status-after-work	5
TOP.6027b7e9.000c357d	SUB.6027b7ee.000bf7bd	STOP
TOP.6027b7e9.000c357d	proc_start	1613215721
TOP.6027b7e9.000c357d	proc_stop	1613215731
TOP.6027b7e9.000c357d	STOP
TOP.6027b7fa.0008e926	START
TOP.6027b7fa.0008e926	user_options->separator	:
TOP.6027b7fa.0008e926	user_options->encoding_from	utf-8
TOP.6027b7fa.0008e926	user_options->encoding_to	utf-8
TOP.6027b7fa.0008e926	user_options->outfile	.\cracked.txt
TOP.6027b7fa.0008e926	user_options->rule_buf_l	:
TOP.6027b7fa.0008e926	user_options->rule_buf_r	:
TOP.6027b7fa.0008e926	user_options->session	hashcat
TOP.6027b7fa.0008e926	user_options->limit	0
TOP.6027b7fa.0008e926	user_options->skip	0
TOP.6027b7fa.0008e926	user_options->attack_mode	0
TOP.6027b7fa.0008e926	user_options->benchmark	0
TOP.6027b7fa.0008e926	user_options->benchmark_all	0
TOP.6027b7fa.0008e926	user_options->bitmap_max	18
TOP.6027b7fa.0008e926	user_options->bitmap_min	16
TOP.6027b7fa.0008e926	user_options->debug_mode	0
TOP.6027b7fa.0008e926	user_options->example_hashes	0
TOP.6027b7fa.0008e926	user_options->force	0
TOP.6027b7fa.0008e926	user_options->hwmon_disable	0
TOP.6027b7fa.0008e926	user_options->hwmon_temp_abort	90
TOP.6027b7fa.0008e926	user_options->hash_mode	0
TOP.6027b7fa.0008e926	user_options->hex_charset	0
TOP.6027b7fa.0008e926	user_options->hex_salt	0
TOP.6027b7fa.0008e926	user_options->hex_wordlist	0
TOP.6027b7fa.0008e926	user_options->increment	0
TOP.6027b7fa.0008e926	user_options->increment_max	256
TOP.6027b7fa.0008e926	user_options->increment_min	1
TOP.6027b7fa.0008e926	user_options->keep_guessing	0
TOP.6027b7fa.0008e926	user_options->kernel_accel	0
TOP.6027b7fa.0008e926	user_options->kernel_loops	0
TOP.6027b7fa.0008e926	user_options->kernel_threads	0
TOP.6027b7fa.0008e926	user_options->keyspace	0
TOP.6027b7fa.0008e926	user_options->left	0
TOP.6027b7fa.0008e926	user_options->logfile_disable	0
TOP.6027b7fa.0008e926	user_options->loopback	0
TOP.6027b7fa.0008e926	user_options->machine_readable	0
TOP.6027b7fa.0008e926	user_options->markov_classic	0
TOP.6027b7fa.0008e926	user_options->markov_disable	0
TOP.6027b7fa.0008e926	user_options->markov_threshold	256
TOP.6027b7fa.0008e926	user_options->opencl_info	0
TOP.6027b7fa.0008e926	user_options->opencl_vector_width	0
TOP.6027b7fa.0008e926	user_options->optimized_kernel_enable	0
TOP.6027b7fa.0008e926	user_options->outfile_autohex	1
TOP.6027b7fa.0008e926	user_options->outfile_check_timer	5
TOP.6027b7fa.0008e926	user_options->outfile_format	3
TOP.6027b7fa.0008e926	user_options->wordlist_autohex_disable	0
TOP.6027b7fa.0008e926	user_options->potfile_disable	0
TOP.6027b7fa.0008e926	user_options->progress_only	0
TOP.6027b7fa.0008e926	user_options->quiet	0
TOP.6027b7fa.0008e926	user_options->remove	0
TOP.6027b7fa.0008e926	user_options->remove_timer	60
TOP.6027b7fa.0008e926	user_options->restore	0
TOP.6027b7fa.0008e926	user_options->restore_disable	0
TOP.6027b7fa.0008e926	user_options->restore_timer	60
TOP.6027b7fa.0008e926	user_options->rp_files_cnt	0
TOP.6027b7fa.0008e926	user_options->rp_gen	0
TOP.6027b7fa.0008e926	user_options->rp_gen_func_max	4
TOP.6027b7fa.0008e926	user_options->rp_gen_func_min	1
TOP.6027b7fa.0008e926	user_options->rp_gen_seed	0
TOP.6027b7fa.0008e926	user_options->runtime	0
TOP.6027b7fa.0008e926	user_options->scrypt_tmto	0
TOP.6027b7fa.0008e926	user_options->segment_size	33554432
TOP.6027b7fa.0008e926	user_options->self_test_disable	0
TOP.6027b7fa.0008e926	user_options->slow_candidates	0
TOP.6027b7fa.0008e926	user_options->show	0
TOP.6027b7fa.0008e926	user_options->speed_only	0
TOP.6027b7fa.0008e926	user_options->spin_damp	8
TOP.6027b7fa.0008e926	user_options->status	0
TOP.6027b7fa.0008e926	user_options->status_timer	10
TOP.6027b7fa.0008e926	user_options->stdout_flag	0
TOP.6027b7fa.0008e926	user_options->usage	0
TOP.6027b7fa.0008e926	user_options->username	0
TOP.6027b7fa.0008e926	user_options->veracrypt_pim	0
TOP.6027b7fa.0008e926	user_options->version	0
TOP.6027b7fa.0008e926	user_options->workload_profile	2
TOP.6027b7fa.0008e926	user_options->brain_client	0
TOP.6027b7fa.0008e926	user_options->brain_client_features	2
TOP.6027b7fa.0008e926	user_options->brain_server	0
TOP.6027b7fa.0008e926	user_options->brain_port	6863
TOP.6027b7fa.0008e926	user_options->brain_session	0
TOP.6027b7fa.0008e926	hashes->hashfile	.\3.txt
TOP.6027b7fa.0008e926	hashes->hashlist_mode	4
TOP.6027b7fa.0008e926	hashes->hashlist_format	0
TOP.6027b7fa.0008e926	hashes->hashes_cnt	0
TOP.6027b7fa.0008e926	hashes->digests_cnt	15
TOP.6027b7fa.0008e926	hashes->digests_done	1
TOP.6027b7fa.0008e926	hashes->salts_cnt	1
TOP.6027b7fa.0008e926	hashes->salts_done	0
TOP.6027b7fa.0008e926	SUB.6027b7fe.000e078a	START
TOP.6027b7fa.0008e926	SUB.6027b7fe.000e078a	straight_ctx->dict	.\rockyou.txt
TOP.6027b7fa.0008e926	SUB.6027b7fe.000e078a	runtime_start	1613215743
TOP.6027b7fa.0008e926	SUB.6027b7fe.000e078a	runtime_stop	1613215744
TOP.6027b7fa.0008e926	SUB.6027b7fe.000e078a	status-after-work	5
TOP.6027b7fa.0008e926	SUB.6027b7fe.000e078a	STOP
TOP.6027b7fa.0008e926	proc_start	1613215738
